Contig	name	Host_species	Location	Orientation	Best_viral_match	evalue NR	evalue PFAM	Element_name	virus_type	Virus	genus	identity	related gene product, total length		X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11		X12	X13	X14
AAGE02001215	n.s.	(Aedes aegypti)	25835-26779	-	AF523194	1.00E-40	1.10E-65	277-1107	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02001215.1	25556	26880	4.60E-53	BDV27057.1	200	-	31.3	469	288	9	4	466	BDV27057.1 acc|GENBANK|BDV27057.1|GENBANK|LC743513|nucleoprotein [Culex tritaeniorhynchus rhabdovirus] acc=BDV27057.1 taxid=936308	
AAGE02001422	n.s.	(Aedes aegypti)	25867-26910	-	FJ872827	8.00E-21	2.70E-42	3237-4274	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02001422.1	25632	27051	4.96E-91	WCD44313.1	311	-	35.8	475	296	3	7	475	WCD44313.1 acc|GENBANK|WCD44313.1|GENBANK|ON955240|putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1 taxid=2980629	
AAGE02002666	n.s.	(Aedes aegypti)	109714-110964	-	U10363	1.00E-41	2.80E-66	277-1137	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02002666.1	109698	110964	5.64E-53	UYL94378.1	199	-	31.1	427	277	6	36	451	UYL94378.1 acc|GENBANK|UYL94378.1|GENBANK|ON955141|putative nucleocapsid protein [Enontekio merhavirus] acc=UYL94378.1 taxid=2980580	
AAGE02003866	n.s.	Yellow fever mosquito	28955-29876	+	EF173366	8.00E-158	3.30E-94	6053-6928	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02003866.1	29005	29876	5.79E-110	QIQ19224.1	399	+	64	292	103	1	433	725	QIQ19224.1 acc|GENBANK|QIQ19224.1|GENBANK|MN607594|polymerase [Yinshui bat virus] acc=QIQ19224.1 taxid=2716754	
AAGE02005401	n.s.	(Aedes aegypti)	11447-11842	-	AJ810084	2.00E-25	N/A	9617-10003	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02005401.1	11400	11851	8.66E-45	YP_009552820.1	185	-	62.5	152	55	1	1648	1800	YP_009552820.1 acc|REFSEQ|YP_009552820.1|REFSEQ|NC_040669|large protein [Riverside virus 1] acc=YP_009552820.1 taxid=1803263	
AAGE02010562	n.s.	(Aedes aegypti)	52134-53624	+	AY149905	5.00E-154	8.80E-168	8161-9537	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02010562.1	52247	53639	6.14E-208	UUV42161.1	723	+	75.4	464	102	1	2713	3165	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02010562	n.s.	(Aedes aegypti)	84484-84930	+	AY149905	4.00E-53	1.50E-66	9457-9912	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02010562.1	84483	84930	3.07E-66	UUV42161.1	257	+	78.9	152	29	1	3145	3297	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02010562	n.s.	(Aedes aegypti)	116044-116697	+	FJ872827	1.00E-12	6.30E-26	3387-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02010562.1	116052	117062	3.78E-87	UYL94389.1	300	+	46.6	337	178	1	121	456	UYL94389.1 acc|GENBANK|UYL94389.1|GENBANK|ON955143|putative glycoprotein [Inari rhabdovirus] acc=UYL94389.1 taxid=2980584	
AAGE02010564	n.s.	(Aedes aegypti)	9823-10526	+	D26175	1.00E-15	5.70E-31	3285-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02010564.1	9545	10178	5.28E-120	QPF16717.1	383	+	85.2	229	16	2	0	229	QPF16717.1 acc|GENBANK|QPF16717.1|GENBANK|MT928175|putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1 taxid=2789884	
AAGE02010564	n.s.	(Aedes aegypti)	9823-10526	+	D26175	1.00E-15	5.70E-31	3285-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02010564.1	10163	10891	1.52E-70	QRD99857.1	243	+	49.4	243	121	1	7	248	QRD99857.1 acc|GENBANK|QRD99857.1|GENBANK|MW520364|glycoprotein [Evros rhabdovirus 1] acc=QRD99857.1 taxid=2805769	
AAGE02010785	n.s.	(Aedes aegypti)	64243-65127	+	AY614723	5.00E-16	3.80E-31	3093-3998	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02010785.1	64272	65185	3.39E-64	QXV86501.1	234	+	39.2	306	184	1	37	343	QXV86501.1 acc|GENBANK|QXV86501.1|GENBANK|MW826481|glycoprotein [Rhabdoviridae sp.] acc=QXV86501.1 taxid=1955137	
AAGE02011785	n.s.	(Aedes aegypti)	82630-83397	-	U18101.2	6.00E-24	5.90E-41	3285-4073	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02011785.1	82116	83547	1.31E-132	WCD44318.1	432	-	42.4	484	271	3	30	513	WCD44318.1 acc|GENBANK|WCD44318.1|GENBANK|ON955243|putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1 taxid=2980578	
AAGE02011785	n.s.	(Aedes aegypti)	74913-78549	-ve	AY149905	3.00E-105	1.30E-58	154-3753	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02011785.1	74951	78600	0	YP_009351861.1	1318	-	51.2	1324	469	16	5	1259	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02013358	n.s.	Yellow fever mosquito	350998-356394	+	AY149905	0	5.10E-41	2683-8113	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	350997	356394	0	UUV42161.1	2074	+	54.2	1846	792	12	865	2704	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	379637-380470	+	AY149905	7.00E-78	3.00E-21	5191-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	379591	380449	8.58E-98	UUV42161.1	362	+	59.2	287	116	1	1704	1991	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	362100-373970	+	AY149905	1.00E-123	2.00E-35	2422-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	369329	369752	1.26E-31	QPF16715.1	134	+	51.1	141	65	1	2	139	QPF16715.1 acc|GENBANK|QPF16715.1|GENBANK|MT928173|glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 taxid=2789881	
AAGE02013358	n.s.	(Aedes aegypti)	362100-373970	+	AY149905	1.00E-123	2.00E-35	2422-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	373250	373949	9.51E-85	UUV42161.1	318	+	63.7	234	84	1	1757	1991	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	362100-373970	+	AY149905	1.00E-123	2.00E-35	2422-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	362192	364826	1.25E-303	UUV42161.1	1020	+	54.4	911	379	7	705	1613	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	375653-376273	+	AY149905	4.00E-06	-	3643-3936	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	375649	376273	3.73E-42	UUV42161.1	177	+	43.3	210	115	3	1105	1313	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	417592-417780	+	AY149905	1.00E-21	9.10E-11	7627-7815	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	417591	417780	3.43E-22	UUV42161.1	110	+	76.2	63	15	0	2535	2598	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	385622-387353	+	AY149905	9.00E-54	2.30E-10	3463-4887	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	387215	387353	7.16E-11	UUV42161.1	74.3	+	65.2	46	16	0	1570	1616	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	385622-387353	+	AY149905	9.00E-54	2.30E-10	3463-4887	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	385618	387013	5.23E-126	UUV42161.1	455	+	48.1	468	238	4	1105	1571	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	380411-385681	+	AY149905	9.00E-20	-	3409-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	385618	387013	5.23E-126	UUV42161.1	455	+	48.1	468	238	4	1105	1571	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	380411-385681	+	AY149905	9.00E-20	-	3409-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	380407	381031	1.67E-42	UUV42161.1	179	+	43.3	210	115	3	1105	1313	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	373911-375703	+	AY149905	7.00E-143	2.10E-42	4525-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	373250	373949	9.51E-85	UUV42161.1	318	+	63.7	234	84	1	1757	1991	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	373911-375703	+	AY149905	7.00E-143	2.10E-42	4525-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	374164	375691	3.87E-200	UUV42161.1	697	+	63.3	510	186	1	1481	1991	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	373911-375703	+	AY149905	7.00E-143	2.10E-42	4525-5988	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02013358.1	375649	376273	3.73E-42	UUV42161.1	177	+	43.3	210	115	3	1105	1313	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02013358	n.s.	(Aedes aegypti)	306294-307052	+	DQ227502	3.00E-24	1.80E-43	3285-4064	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02013358.1	306143	307466	4.48E-112	WCD44318.1	373	+	38	484	256	5	30	513	WCD44318.1 acc|GENBANK|WCD44318.1|GENBANK|ON955243|putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1 taxid=2980578	
AAGE02013358	n.s.	(Aedes aegypti)	328857-329471	+	FJ872827	7.00E-22	3.50E-39	3285-3929	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02013358.1	328751	329264	1.08E-97	QPF16717.1	319	+	82.5	171	30	0	58	229	QPF16717.1 acc|GENBANK|QPF16717.1|GENBANK|MT928175|putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1 taxid=2789884	
AAGE02016690	n.s.	(Aedes aegypti)	36382-36918	+	FJ872827	6.00E-23	4.10E-39	3285-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02016690.1	36768	37513	1.39E-76	QRD99857.1	260	+	49	251	126	1	5	256	QRD99857.1 acc|GENBANK|QRD99857.1|GENBANK|MW520364|glycoprotein [Evros rhabdovirus 1] acc=QRD99857.1 taxid=2805769	
AAGE02016690	n.s.	(Aedes aegypti)	36382-36918	+	FJ872827	6.00E-23	4.10E-39	3285-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02016690.1	36126	36789	5.96E-130	QPF16717.1	412	+	85.5	221	32	0	8	229	QPF16717.1 acc|GENBANK|QPF16717.1|GENBANK|MT928175|putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1 taxid=2789884	
AAGE02016722	n.s.	(Aedes aegypti)	26179-27345	-	AF523194	6.00E-39	1.30E-66	241-1254	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02016722.1	26154	27430	1.65E-54	BDV27057.1	204	-	31.8	472	265	13	4	466	BDV27057.1 acc|GENBANK|BDV27057.1|GENBANK|LC743513|nucleoprotein [Culex tritaeniorhynchus rhabdovirus] acc=BDV27057.1 taxid=936308	
AAGE02017532	n.s.	(Aedes aegypti)	41701-42467	+	EU370915	2.00E-23	2.00E-33	3285-4073	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02017532.1	41463	42851	2.33E-128	WCD44318.1	419	+	42.7	466	263	2	2	467	WCD44318.1 acc|GENBANK|WCD44318.1|GENBANK|ON955243|putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1 taxid=2980578	
AAGE02018553	n.s.	(Aedes aegypti)	46857-47561	-	AY614723	5.00E-10	3.90E-19	3090-3833	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02018553.1	46046	47531	1.47E-85	UYE93949.1	296	-	33.3	504	318	7	22	516	UYE93949.1 acc|GENBANK|UYE93949.1|GENBANK|ON955254|putative glycoprotein [Ohlsdorf virus] acc=UYE93949.1 taxid=2040592	
AAGE02018553	n.s.	(Aedes aegypti)	29534-30604	-	FJ872827	2.00E-28	2.00E-46	3285-4364	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02018553.1	29350	30835	1.23E-127	WCD44318.1	417	-	39.6	500	296	3	4	503	WCD44318.1 acc|GENBANK|WCD44318.1|GENBANK|ON955243|putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1 taxid=2980578	
AAGE02020997	n.s.	(Aedes aegypti)	3-632	-ve	AY149905	2.00E-68	1.10E-61	2683-3303	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	2	719	1.09E-100	YP_009351861.1	367	-	67.6	241	76	1	850	1091	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	741-1019	-ve	AY149905	2.00E-21	2.10E-15	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	740	1106	1.93E-43	YP_009350102.1	179	-	69.7	122	37	0	849	971	YP_009350102.1 acc|REFSEQ|YP_009350102.1|REFSEQ|NC_034017|polyprotein [Xishuangbanna aedes flavivirus] acc=YP_009350102.1 taxid=1821227	
AAGE02020997	n.s.	(Aedes aegypti)	1128-1406	-ve	AY149905	5.00E-21	1.10E-14	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	1127	1493	7.36E-43	UUV42161.1	177	-	68	122	39	0	836	958	UUV42161.1 acc|GENBANK|UUV42161.1|GENBANK|ON949931|polyprotein [Kilpisjarvi flavivirus] acc=UUV42161.1 taxid=2970553	
AAGE02020997	n.s.	(Aedes aegypti)	2799-3632	-ve	AY149905	4.00E-56	8.60E-43	2938-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	2813	3954	5.12E-138	YP_009351861.1	490	-	60.5	390	143	3	850	1238	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	3679-3867	-ve	AY149905	6.00E-14	4.60E-06	2689-2868	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	2813	3954	5.12E-138	YP_009351861.1	490	-	60.5	390	143	3	850	1238	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	4027-5927	-ve	AY149905	4.00E-86	1.50E-61	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	4041	5184	8.64E-142	YP_009351861.1	502	-	60.5	390	143	3	850	1238	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	4027-5927	-ve	AY149905	4.00E-86	1.50E-61	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	5658	6801	4.41E-141	YP_009351861.1	500	-	60.3	390	144	3	850	1238	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	4027-5927	-ve	AY149905	4.00E-86	1.50E-61	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	5205	5571	6.58E-44	YP_009351861.1	180	-	69.7	122	37	0	850	972	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	5644-6714	-ve	AY149905	1.00E-84	4.90E-62	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	5658	6801	4.41E-141	YP_009351861.1	500	-	60.3	390	144	3	850	1238	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	6823-7101	-ve	AY149905	4.00E-21	3.00E-15	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	6822	7188	6.58E-44	YP_009351861.1	180	-	69.7	122	37	0	850	972	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	7261-8286	-ve	AY149905	8.00E-75	3.00E-59	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	7275	8373	3.94E-130	YP_009351861.1	464	-	57.2	390	141	4	850	1238	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	5206-5484	-ve	AY149905	4.00E-21	3.00E-15	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	5205	5571	6.58E-44	YP_009351861.1	180	-	69.7	122	37	0	850	972	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020997	n.s.	(Aedes aegypti)	8782-9060	-ve	AY149905	5.00E-21	1.10E-14	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	8781	9087	3.28E-36	YP_009350102.1	155	-	72.5	102	28	0	869	971	YP_009350102.1 acc|REFSEQ|YP_009350102.1|REFSEQ|NC_034017|polyprotein [Xishuangbanna aedes flavivirus] acc=YP_009350102.1 taxid=1821227	
AAGE02020997	n.s.	(Aedes aegypti)	8386-8673	-ve	AY149905	9.00E-21	7.10E-15	2689-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	8394	8760	5.64E-43	YP_009350102.1	177	-	68.9	122	38	0	849	971	YP_009350102.1 acc|REFSEQ|YP_009350102.1|REFSEQ|NC_034017|polyprotein [Xishuangbanna aedes flavivirus] acc=YP_009350102.1 taxid=1821227	
AAGE02020997	n.s.	(Aedes aegypti)	8386-8673	-ve	AY149905	9.00E-21	7.10E-15	2689-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020997.1	7275	8373	3.94E-130	YP_009351861.1	464	-	57.2	390	141	4	850	1238	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020998	n.s.	(Aedes aegypti)	1-735	-ve	AY149905	2.00E-60	1.20E-59	2683-3396	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020998.1	18	822	4.48E-108	YP_009351861.1	368	-	60.4	285	94	3	850	1133	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020998	n.s.	(Aedes aegypti)	768-835	-ve	AY149905	7.00E-21	1.90E-15	2689-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020998.1	18	822	4.48E-108	YP_009351861.1	368	-	60.4	285	94	3	850	1133	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02020998	n.s.	(Aedes aegypti)	1282-2352	-ve	AY149905	6.00E-85	1.70E-61	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02020998.1	1296	2439	9.11E-154	YP_009351861.1	501	-	60.5	390	143	3	850	1238	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247	
AAGE02023708	n.s.	(Aedes aegypti)	4461-5684	+	AF523194	9.00E-40	2.70E-61	277-1107	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02023708.1	4583	5699	8.17E-53	UYL94378.1	196	+	32	378	244	5	80	451	UYL94378.1 acc|GENBANK|UYL94378.1|GENBANK|ON955141|putative nucleocapsid protein [Enontekio merhavirus] acc=UYL94378.1 taxid=2980580	
