eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ACYM01_EVE011	high	74	viral (9), maybe-viral (2), non-viral (1)	VDB (6), UDB Viruses (3), uncharacterized protein (2), annotated protein of Eukaryota (1)	ACYM01029381.1_14989-15540:-	6.83e-90	89.9	Maturase K n=1 Tax=Pyrus betulifolia  RepID=A0A7T0CQK7_9ROSA	putative RNA-dependent RNA polymerase [Mitoviridae sp.] acc=UJQ92583.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACYM01_EVE012	high	65	viral (2), non-viral (1)	VDB (2), annotated protein of Bacteria (1)	ACYM01132874.1_6275-6625:-	2.68e-8	31.8	movement protein [Watercress white vein virus] acc=AFC95825.1 	movement protein [Watercress white vein virus] acc=AFC95825.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Watercress white vein virus	Kitrinoviricota
ACYM01_EVE013	high	64	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), coat (1)	ACYM01007654.1_2244-2900:+	7.599999999999999e-159	95.9	Aminotransferase-like plant mobile domain-containing protein n=1 Tax=Malus baccata  RepID=A0A540LGK6_MALBA	putative coat protein [Dichroa partitivirus 2] acc=WAK97195.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Dichroa partitivirus 2	Pisuviricota
ACYM01_EVE014	high	59	viral (12), maybe-viral (7), non-viral (3)	VDB (9), uncharacterized protein (5), UDB Viruses (3), annotated protein of Eukaryota (2), polyprotein protein (2), annotated protein of unclassified root superkingdom (1)	ACYM01007591.1_1459-1734:+	3.15e-19	45.7	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Artverviricota
ACYM01_EVE015	high	59	viral (12), maybe-viral (7), non-viral (3)	VDB (9), uncharacterized protein (5), UDB Viruses (3), annotated protein of Eukaryota (2), polyprotein protein (2), annotated protein of unclassified root superkingdom (1)	ACYM01132934.1_4667-4942:+	3.15e-19	45.7	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Artverviricota
ACYM01_EVE016	high	58	viral (11), non-viral (5), maybe-viral (4)	VDB (8), uncharacterized protein (4), annotated protein of Eukaryota (3), UDB Viruses (3), annotated protein of unclassified root superkingdom (2)	ACYM01079314.1_23019-23305:+	1.37e-11	37.9	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE017	high	58	maybe-viral (2), viral (1)	uncharacterized protein (2), viral (1)	ACYM01124121.1_9154-9534:-	6.460000000000001e-59	76.4	RNA-dependent RNA polymerase, mitoviral n=1 Tax=Cinnamomum micranthum f. kanehirae  RepID=A0A443Q4Y0_9MAGN	NA	NA	Streptophyta
ACYM01_EVE018	high	54	viral (11), non-viral (6), maybe-viral (5)	VDB (6), UDB Viruses (5), annotated protein of Eukaryota (4), uncharacterized protein (4), annotated protein of unclassified root superkingdom (2), polyprotein protein (1)	ACYM01064620.1_4499-4708:+	4.49e-16	51.4	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	movement protein [Grapevine berry inner necrosis virus] acc=BCS83838.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Betaflexiviridae;g__Trichovirus;s__Grapevine berry inner necrosis virus	Streptophyta
ACYM01_EVE019	high	53	viral (10), maybe-viral (8), non-viral (3)	VDB (7), uncharacterized protein (6), UDB Viruses (3), annotated protein of Eukaryota (2), polyprotein protein (2), annotated protein of unclassified root superkingdom (1)	ACYM01008475.1_3413-3751:-	1.9e-26	47.4	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE020	high	53	viral (10), maybe-viral (8), non-viral (3)	VDB (7), uncharacterized protein (6), UDB Viruses (3), annotated protein of Eukaryota (2), polyprotein protein (2), annotated protein of unclassified root superkingdom (1)	ACYM01018295.1_1596-1934:+	1.9e-26	47.4	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE021	high	53	viral (11), maybe-viral (9), non-viral (3)	VDB (8), uncharacterized protein (6), polyprotein protein (3), UDB Viruses (3), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (1)	ACYM01128026.1_960-1256:+	6.39e-22	49.5	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Artverviricota
ACYM01_EVE022	high	52	viral (10), maybe-viral (6), non-viral (5)	VDB (7), uncharacterized protein (5), annotated protein of Eukaryota (4), UDB Viruses (3), annotated protein of unclassified root superkingdom (1), polyprotein protein (1)	ACYM01081738.1_27071-27514:+	3.6499999999999997e-32	42	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE023	high	52	viral (11), maybe-viral (8), non-viral (4)	VDB (8), uncharacterized protein (6), annotated protein of Eukaryota (3), UDB Viruses (3), polyprotein protein (2), annotated protein of unclassified root superkingdom (1)	ACYM01082672.1_9909-10205:+	4.39e-26	51.5	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE024	high	52	viral (10), maybe-viral (7), non-viral (4)	uncharacterized protein (6), VDB (6), UDB Viruses (4), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2), polyprotein protein (1)	ACYM01116347.1_27255-27584:+	1.3e-17	43	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE025	high	51	viral (9), maybe-viral (8), non-viral (3)	VDB (7), uncharacterized protein (5), polyprotein protein (3), annotated protein of Eukaryota (2), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	ACYM01004901.1_5658-5969:+	8.27e-25	51.6	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Artverviricota
ACYM01_EVE026	high	51	viral (12), maybe-viral (8), non-viral (6)	VDB (9), uncharacterized protein (8), annotated protein of Eukaryota (4), UDB Viruses (3), annotated protein of unclassified root superkingdom (2)	ACYM01051644.1_889-1203:+	7.79e-26	47.1	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Artverviricota
ACYM01_EVE027	high	51	viral (9), maybe-viral (7), non-viral (4)	uncharacterized protein (6), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (3), annotated protein of unclassified root superkingdom (1), polyprotein protein (1)	ACYM01071593.1_6128-6457:+	2.84e-15	40.9	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE028	high	51	viral (9), maybe-viral (7), non-viral (4)	uncharacterized protein (5), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2), polyprotein protein (2)	ACYM01132522.1_4886-5437:+	3.19e-32	39.9	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Artverviricota
ACYM01_EVE029	high	51	viral (9), maybe-viral (8), non-viral (2), retro (1)	VDB (7), uncharacterized protein (5), polyprotein protein (3), UDB Viruses (2), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1), reverse transcriptase (1)	ACYM01138855.1_5-283:+	5.95e-24	48.9	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE030	high	50	viral (9), maybe-viral (7), non-viral (4)	uncharacterized protein (7), VDB (6), UDB Viruses (3), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2)	ACYM01046093.1_608-1138:-	8.09e-34	37.6	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE031	high	50	viral (9), maybe-viral (7), non-viral (4)	uncharacterized protein (7), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2)	ACYM01089087.1_9166-9702:+	2.77e-35	39.8	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	ORF3 n=1 Tax=Dioscorea nummularia-associated virus  RepID=A0A346RP34_9VIRU	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Dioscovirus;s__Dioscovirus dioscoreae	Artverviricota
ACYM01_EVE032	high	50	maybe-viral (9), viral (9), non-viral (3)	uncharacterized protein (7), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (2), polyprotein protein (2), annotated protein of unclassified root superkingdom (1)	ACYM01144135.1_3357-3686:+	3.98e-15	38.7	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	movement protein [Grapevine berry inner necrosis virus] acc=BCS83838.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Betaflexiviridae;g__Trichovirus;s__Grapevine berry inner necrosis virus	Streptophyta
ACYM01_EVE033	high	50	viral (9), maybe-viral (7), non-viral (4)	uncharacterized protein (7), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2)	ACYM01144570.1_1173-1502:-	4.08e-20	44.1	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE034	high	49	viral (9), maybe-viral (7), non-viral (4)	uncharacterized protein (7), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2)	ACYM01006080.1_32563-32892:-	2.39e-18	41.9	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE035	high	49	viral (9), maybe-viral (8), non-viral (4)	uncharacterized protein (6), VDB (6), UDB Viruses (3), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2), polyprotein protein (2)	ACYM01036743.1_14492-14941:-	2e-25	38.4	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE036	high	49	viral (9), maybe-viral (6), non-viral (5)	VDB (6), uncharacterized protein (5), annotated protein of Eukaryota (3), UDB Viruses (3), annotated protein of unclassified root superkingdom (2), polyprotein protein (1)	ACYM01037623.1_21667-22026:-	5.769999999999999e-31	46.5	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE037	high	49	viral (9), maybe-viral (6), non-viral (5)	uncharacterized protein (6), VDB (6), annotated protein of Eukaryota (3), UDB Viruses (3), annotated protein of unclassified root superkingdom (2)	ACYM01055246.1_4023-4406:-	5.940000000000001e-27	40.5	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE038	high	49	viral (9), maybe-viral (8), non-viral (4)	uncharacterized protein (7), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2), polyprotein protein (1)	ACYM01068982.1_4818-5147:-	3.57e-17	41.9	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE039	high	49	viral (9), maybe-viral (6), non-viral (5)	uncharacterized protein (6), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (3), annotated protein of unclassified root superkingdom (2)	ACYM01092927.1_785-1210:+	5.889999999999999e-35	45.4	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE040	high	49	viral (10), maybe-viral (8), non-viral (4)	VDB (9), uncharacterized protein (7), annotated protein of Eukaryota (3), annotated protein of unclassified root superkingdom (1), polyprotein protein (1), UDB Viruses (1)	ACYM01093332.1_1418-1749:-	1.13e-13	42.1	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	ORF3 [Pandanus badnavirus] acc=UVW45035.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Pandanus badnavirus	Streptophyta
ACYM01_EVE041	high	49	viral (9), maybe-viral (8), non-viral (4)	uncharacterized protein (8), VDB (6), UDB Viruses (3), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2)	ACYM01106387.1_245-556:-	8.38e-16	37.8	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE042	high	48	viral (9), maybe-viral (7), non-viral (5)	uncharacterized protein (6), VDB (6), annotated protein of Eukaryota (3), UDB Viruses (3), annotated protein of unclassified root superkingdom (2), polyprotein protein (1)	ACYM01001377.1_9364-9900:-	1.02e-28	39.7	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE043	high	48	viral (10), false-viral (3)	VDB (10), ubiquitin (3)	ACYM01032782.1_4084-4869:-	2.38e-5	71.8	Ubiquitin-like domain-containing protein n=2 Tax=Chlorella desiccata (nom. nud.)  RepID=A0A8T2HPD4_9CHLO	ubiquitin-60S ribosomal protein L40 [Acanthocystis turfacea Chlorella virus TN603.4.2] acc=AGE59699.1 	k__Viruses;K__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;f__Phycodnaviridae;g__Chlorovirus;s__Acanthocystis turfacea Chlorella virus TN603.4.2	Nucleocytoviricota
ACYM01_EVE044	high	48	viral (10), maybe-viral (7), non-viral (6)	VDB (7), uncharacterized protein (6), annotated protein of Eukaryota (4), UDB Viruses (3), annotated protein of unclassified root superkingdom (2), polyprotein protein (1)	ACYM01092445.1_5222-5637:+	6.28e-30	49.5	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE045	high	48	viral (9), maybe-viral (7), non-viral (4)	uncharacterized protein (7), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2)	ACYM01098838.1_1873-2201:-	1.6e-11	36.2	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	movement protein [Grapevine berry inner necrosis virus] acc=BCS83838.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Betaflexiviridae;g__Trichovirus;s__Grapevine berry inner necrosis virus	Streptophyta
ACYM01_EVE046	high	48	viral (9), maybe-viral (7), non-viral (5)	uncharacterized protein (5), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (3), annotated protein of unclassified root superkingdom (2), polyprotein protein (2)	ACYM01098840.1_235-770:+	5.19e-32	37.4	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
ACYM01_EVE047	high	47	maybe-viral (8), viral (8), non-viral (4)	uncharacterized protein (6), VDB (5), UDB Viruses (3), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (2), polyprotein protein (2)	ACYM01023615.1_1969-2502:-	2.5000000000000002e-29	36.4	Uncharacterized protein n=1 Tax=Dipteronia dyeriana  RepID=A0AAD9XPK2_9ROSI	polyprotein [Chestnut mosaic virus] acc=QOS14285.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Caulimoviridae;g__Badnavirus;s__Badnavirus tessellocastaneae	Streptophyta
