eve_id	confidence	eve_score	suggests	because	locus	start	stop	length	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AADN02_EVE017	high	66	viral (2), non-viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	AADN02072231.1_432-1042:+	432	1,042	610	1.38E-05	29.6	BZIP domain-containing protein n=56 Tax=Fusarium  RepID=A0A8H5XU22_9HYPO	Movement protein n=3 Tax=unclassified Tymovirus  RepID=A0A8T9JBY0_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__unclassified Tymovirus species	Kitrinoviricota
AADN02_EVE018	high	65	viral (11), maybe-viral (7), non-viral (2)	VDB (6), polyprotein protein (4), envelope (3), uncharacterized protein (3), UDB Viruses (2), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1)	AADN02032580.1_1669-2028:+	1,669	2,028	359	4.05E-74	98.3	Envelope glycoprotein gp95 n=216 Tax=Alpharetrovirus  RepID=ENV_RSVP	Envelope glycoprotein gp95 n=216 Tax=Alpharetrovirus  RepID=ENV_RSVP	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__unclassified Alpharetrovirus species	unclassified root phylum
AADN02_EVE021	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	AADN02009550.1_3183-4043:-	3,183	4,043	860	3.11E-05	27.2	uncharacterized protein LOC120432016 n=1 Tax=Culex pipiens pallens  RepID=UPI001953FDFB	movement protein [Andean potato latent virus] acc=QVX32616.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus latandigenum	Arthropoda
AADN02_EVE022	high	58	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	AADN02064616.1_190-488:-	190	488	298	1.32E-05	44.4	Uncharacterized protein n=1 Tax=Penaeus vannamei  RepID=A0A3R7M2Y7_PENVA	replicase/papain-like protease [Turnip yellow mosaic virus] acc=NP_663297.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus brassicae	Arthropoda
AADN02_EVE023	high	58	viral (10), maybe-viral (9), non-viral (1)	VDB (6), uncharacterized protein (5), polyprotein protein (4), envelope (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02066787.1_404-898:-	404	898	494	1.57E-110	97.6	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
AADN02_EVE024	high	57	viral (10), maybe-viral (9), non-viral (1)	VDB (6), uncharacterized protein (5), polyprotein protein (4), envelope (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02049873.1_101994-102572:+	101,994	102,572	578	8.89E-129	99	gag-env fusion protein [Gallus gallus] acc=AGL33449.1	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
AADN02_EVE025	high	57	viral (10), maybe-viral (9), non-viral (1)	VDB (6), uncharacterized protein (5), polyprotein protein (4), envelope (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02071444.1_2411-2986:+	2,411	2,986	575	2.95E-130	97.9	Env polyprotein (Fragment) n=10 Tax=root  RepID=Q9QME7_9RETR	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
AADN02_EVE026	high	55	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (7), VDB (5), envelope (3), polyprotein protein (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02013680.1_55523-56017:+	55,523	56,017	494	3.19E-69	66.9	LOW QUALITY PROTEIN: uncharacterized protein LOC107306240 n=1 Tax=Coturnix japonica  RepID=UPI0013A5CD3F	envelope protein [Avian leukosis virus] acc=AAU06813.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE027	high	55	maybe-viral (11), viral (10), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), envelope (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02029133.1_22729-23112:+	22,729	23,112	383	1.46E-50	63.8	LOW QUALITY PROTEIN: uncharacterized protein LOC107306240 n=1 Tax=Coturnix japonica  RepID=UPI0013A5CD3F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE028	high	55	viral (4), non-viral (3)	annotated protein of Eukaryota (3), VDB (3), UDB Viruses (1)	AADN02034303.1_94-1070:-	94	1,070	976	2.26E-06	33.7	proline-rich extensin-like protein EPR1 n=2 Tax=Homarus americanus  RepID=UPI001C46E94F	69K protein [Naranjilla chlorotic mosaic virus] acc=AUR53411.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__unclassified Tymoviridae genus;s__Naranjilla chlorotic mosaic virus	Kitrinoviricota
AADN02_EVE029	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02016659.1_446-870:+	446	870	424	6.99E-78	84.6	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE030	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02038676.1_1389-1843:+	1,389	1,843	454	7.25E-88	87.6	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE031	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02063475.1_44166-44582:-	44,166	44,582	416	6.42E-73	75.5	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE032	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02063579.1_1025-1444:-	1,025	1,444	419	4.41E-76	81.3	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE033	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02070314.1_620-1007:-	620	1,007	387	2.27E-70	85.6	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE034	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02077250.1_342-883:+	342	883	541	1.61E-117	98.3	Uncharacterized protein n=9 Tax=Phasianinae  RepID=A0A8V0XAE5_CHICK	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE036	high	53	maybe-viral (11), viral (9), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02016436.1_51609-52105:+	51,609	52,105	496	6.89E-80	81.2	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE037	high	53	maybe-viral (11), viral (9), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02027354.1_31606-32043:-	31,606	32,043	437	5.25E-79	77.9	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE038	high	53	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02029132.1_2249-2790:-	2,249	2,790	541	4.96E-118	100	Gag-env fusion protein n=27 Tax=root  RepID=Q9QME4_9RETR	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE039	high	53	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02029469.1_1386-1927:-	1,386	1,927	541	3.44E-120	100	Uncharacterized protein n=9 Tax=Phasianinae  RepID=A0A8V0XAE5_CHICK	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE040	high	53	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02042212.1_174-715:-	174	715	541	8.90E-117	98.3	Uncharacterized protein n=9 Tax=Phasianinae  RepID=A0A8V0XAE5_CHICK	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE041	high	53	viral (9), maybe-viral (8), non-viral (3)	VDB (6), polyprotein protein (5), envelope (3), uncharacterized protein (3), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (1)	AADN02056803.1_370-882:-	370	882	512	1.52E-15	28.9	envelope polyprotein [Retroviridae sp.] acc=QLI47669.1	envelope polyprotein [Retroviridae sp.] acc=QLI47669.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Retroviridae sp.	unclassified root phylum
AADN02_EVE044	high	51	viral (10), non-viral (9), maybe-viral (1)	viral (10), annotated protein of Eukaryota (9), uncharacterized protein (1)	AADN02004982.1_83161-83473:+	83,161	83,473	312	6.65E-36	64.8	BIR protein n=310 Tax=Amniota  RepID=A0A8C3JZ15_9CHAR	NA	NA	Chordata
AADN02_EVE045	high	50	maybe-viral (11), viral (8), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02012569.1_23858-24358:+	23,858	24,358	500	3.16E-99	86.9	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE046	high	50	maybe-viral (11), viral (8), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02054616.1_7436-7959:-	7,436	7,959	523	1.69E-90	75.1	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE047	high	50	maybe-viral (11), viral (8), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02074813.1_1169-1642:+	1,169	1,642	473	1.37E-63	65	LOW QUALITY PROTEIN: uncharacterized protein LOC107306240 n=1 Tax=Coturnix japonica  RepID=UPI0013A5CD3F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE048	high	50	maybe-viral (11), viral (8), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02077252.1_465-935:+	465	935	470	2.15E-86	82.2	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE049	high	49	maybe-viral (12), viral (8), non-viral (1)	uncharacterized protein (8), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02008596.1_1089-1556:-	1,089	1,556	467	1.33E-69	69.7	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE050	high	49	non-viral (1), viral (1)	annotated protein of Eukaryota (1), VDB (1)	AADN02013249.1_8450-8775:-	8,450	8,775	325	4.60E-07	56.9	Protein ZIP4 homolog n=560 Tax=Euteleostomi  RepID=H0ZAI3_TAEGU	RNA-dependent RNA polymerase [Henan forest noda-like virus 1] acc=QYF49943.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Magsaviricetes;o__Nodamuvirales;f__Nodaviridae;g__unclassified Nodaviridae genus;s__Henan forest noda-like virus 1	Chordata
AADN02_EVE051	high	49	maybe-viral (12), viral (8), non-viral (1)	uncharacterized protein (8), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02042694.1_31055-31516:+	31,055	31,516	461	1.02E-83	83.7	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE052	high	49	non-viral (1), viral (1)	annotated protein of Eukaryota (1), VDB (1)	AADN02054230.1_359-1342:-	359	1,342	983	3.47E-05	31.3	Protein kinase domain-containing protein n=52 Tax=Pentapetalae  RepID=A0A067KCH9_JATCU	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus physalis	Kitrinoviricota
AADN02_EVE053	high	48	non-viral (1), viral (1)	annotated protein of Eukaryota (1), VDB (1)	AADN02010499.1_123-602:+	123	602	479	9.16E-06	30.1	BHLH domain-containing protein n=1 Tax=Amphimedon queenslandica  RepID=A0A1X7TLD2_AMPQE	movement protein [Ullucus tymovirus 1] acc=AZF99026.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__unclassified Tymovirales family;g__unclassified Tymovirales genus;s__Ullucus tymovirus 1	Kitrinoviricota
AADN02_EVE055	high	47	maybe-viral (12), viral (7), non-viral (1)	uncharacterized protein (8), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02005598.1_7317-7775:-	7,317	7,775	458	2.88E-63	65.6	LOW QUALITY PROTEIN: uncharacterized protein LOC107306240 n=1 Tax=Coturnix japonica  RepID=UPI0013A5CD3F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE056	high	47	maybe-viral (12), viral (7), non-viral (1)	uncharacterized protein (8), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02015942.1_725-1168:+	725	1,168	443	6.67E-61	66.4	LOW QUALITY PROTEIN: uncharacterized protein LOC107306240 n=1 Tax=Coturnix japonica  RepID=UPI0013A5CD3F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE057	high	44	non-viral (2), viral (2), maybe-viral (1)	annotated protein of Eukaryota (2), UDB Viruses (1), uncharacterized protein (1), VDB (1)	AADN02075853.1_17-775:+	17	775	758	2.13E-05	30.9	uncharacterized protein LOC132084739 n=1 Tax=Ammospiza nelsoni  RepID=UPI00286D6078	Movement protein n=1 Tax=Asclepias asymptomatic virus  RepID=F5A8F3_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Asclepias asymptomatic virus	Chordata
AADN02_EVE058	high	44	maybe-viral (9), viral (8), non-viral (5)	VDB (6), uncharacterized protein (5), annotated protein of Eukaryota (4), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02077660.1_5589-6241:-	5,589	6,241	652	4.06E-10	27.2	syncytin-2-like n=1 Tax=Manacus vitellinus  RepID=UPI00115C6BB0	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE059	high	43	maybe-viral (13), viral (6), non-viral (1)	uncharacterized protein (9), VDB (5), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02029393.1_44450-44791:-	44,450	44,791	341	7.15E-54	72.6	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE060	high	43	maybe-viral (11), viral (8), non-viral (4)	uncharacterized protein (9), annotated protein of Eukaryota (4), envelope (4), VDB (4), polyprotein protein (2)	AADN02054271.1_5-388:+	5	388	383	2.55E-50	64.3	uncharacterized protein LOC116238794 n=4 Tax=Neognathae  RepID=UPI00129D8619	envelope protein [Avian leukosis virus] acc=AAU06813.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
